teid,chain_id,n_tickets_in_chain,chain_start,chain_end,branch_ids,equipment_names,group_labels,sample_notes
43143,1,1,2014-09-10 00:00:00,2015-05-31 23:59:00,60005713.0,LA_PAL_MVRANG11,NewEquip,
43143,2,1,2015-09-10 00:00:00,2015-09-17 23:59:00,60005713.0,LA_PAL_MVRANG11,NewEquip,
56924,1,1,2014-10-01 00:00:00,2015-04-01 00:00:00,60000843.0,217T1601,MCNEIL,
56924,2,2,2015-04-15 20:01:00,2015-06-30 20:00:00,60000843.0,217T1601,MCNEIL,
58390,1,1,2016-03-01 00:00:00,2016-12-30 17:00:00,,A1,NewEquip,
58390,2,1,2017-02-28 16:57:00,2017-06-29 15:00:00,,A1,NewEquip,
66363,1,3,2017-06-01 00:00:00,2017-08-18 14:30:00,,GSU-1,"CHAMON , Chamon",
66363,2,1,2017-08-31 14:31:00,2017-09-20 23:59:00,,GSU-1,Chamon,
70365,1,1,2015-05-21 11:40:00,2015-08-01 17:00:00,60008059.0,CEDRHI_OAKC11,NewEquip,
70365,2,1,2015-10-30 16:43:00,2016-04-29 17:00:00,60008059.0,CEDRHI_OAKC11,NewEquip,
70365,3,1,2016-10-28 16:43:00,2016-12-30 17:00:00,60008059.0,CEDRHI_OAKC11,NewEquip,
76864,1,1,2015-02-11 00:00:00,2015-03-27 17:00:00,60002951.0,AIRP_ALLEYO11,NewEquip,
76864,2,1,2015-06-11 07:00:00,2015-07-08 15:15:00,60002951.0,AIRP_ALLEYO11,Dinny,
79056,1,3,2017-06-01 00:00:00,2017-08-18 14:30:00,,GSU-2,"CHAMON , Chamon",
79056,2,1,2017-08-31 14:31:00,2017-09-20 23:59:00,,GSU-2,Chamon,
79625,1,1,2015-02-04 00:00:00,2015-03-27 17:00:00,60004309.0,DINNY_DISCOV11,NewEquip,
79625,2,1,2015-06-11 07:00:00,2015-07-08 15:15:00,60004309.0,DINNY_DISCOV11,Dinny,
79665,1,1,2015-02-04 00:00:00,2015-03-27 17:00:00,60004310.0,DINNY_IRAAN11,NewEquip,
79665,2,1,2015-06-11 07:00:00,2015-07-08 15:15:00,60004310.0,DINNY_IRAAN11,Dinny,
81773,1,1,2016-12-08 00:00:00,2017-08-31 18:00:00,,AT1,NewEqupt,
81773,2,2,2017-12-07 12:01:00,2018-09-19 09:58:00,,AT1,NewEqupt,
82291,1,1,2015-03-04 00:00:00,2015-03-04 00:01:00,60002933.0,AI_SRB87A,AI,
82291,2,1,2015-05-17 23:59:00,2015-05-18 00:01:00,60002933.0,AI_SRB87A,,
82291,3,1,2015-06-01 07:00:00,2015-06-02 17:07:00,60002933.0,AI_SRB87A,AI,
82779,1,1,2017-04-19 00:00:00,2017-08-25 16:00:00,60009166.0,LARDST_LAREDO11,LarLard,
82779,2,3,2018-04-18 16:01:00,2018-11-21 16:00:00,60009166.0,LARDST_LAREDO11,LarLard,
83320,1,1,2015-06-03 00:00:00,2015-08-05 14:00:00,60007988.0,SHANNON_TL1,SHAN-HV	,
83320,2,1,2015-08-20 14:01:00,2015-08-25 14:00:00,60007988.0,SHANNON_TL1,SHAN820,
89299,1,1,2015-04-01 00:00:00,2015-04-21 11:22:00,,SST1,SSPUR2,
89299,2,1,2015-06-27 00:00:00,2015-07-28 23:59:00,,SST1,SS2-0728,
89306,1,1,2015-04-01 00:00:00,2015-04-21 11:22:00,,SST2,SSPUR2,
89306,2,1,2015-06-27 00:00:00,2015-07-28 23:59:00,,SST2,SS2-0728,
89326,1,1,2015-04-01 00:00:00,2015-04-21 11:22:00,,SS3_TLINE1,SSPUR2,
89326,2,1,2015-06-27 00:00:00,2015-07-28 23:59:00,,SS3_TLINE1,SS2-0728,
97202,1,1,2015-06-03 00:00:00,2015-07-08 17:29:00,60003669.0,CARRIZ_CRYSTA11,NewEquip,
97202,2,1,2015-07-21 10:11:00,2015-11-24 17:00:00,60003669.0,CARRIZ_CRYSTA11,NewEquip,
97221,1,1,2015-06-03 00:00:00,2015-06-30 17:00:00,60004162.0,CRYSTA_TURTLC11,NewEquip,
97221,2,1,2015-07-21 10:15:00,2016-01-14 01:00:00,60004162.0,CRYSTA_TURTLC11,NewEquip,
98920,1,1,2016-03-01 00:00:00,2016-06-03 16:00:00,60008383.0,WHILPII_WEST1,6316NE,
98920,2,1,2016-10-04 17:01:00,2016-11-11 18:00:00,60008383.0,WHILPII_WEST1,6316NE,
183643,1,1,2016-01-19 17:00:00,2016-02-10 07:20:00,,JS04,,
183643,2,1,2016-02-25 13:00:00,2016-06-30 17:00:00,,JS04,,
185333,1,1,2016-11-01 00:00:00,2016-12-31 00:00:00,,PS27,MARION ,
185333,2,1,2017-07-06 00:00:00,2018-01-08 19:00:00,60009221.0,138_SDS_EPS1,38140-1,
208470,1,1,2015-12-18 16:15:00,2016-02-08 15:00:00,60008125.0,NEDIN_REDTAP11,NewEquip,
208470,2,1,2016-02-12 08:59:00,2016-02-12 10:30:00,60008125.0,NEDIN_REDTAP11,NewEquip,
208783,1,1,2015-12-18 16:15:00,2016-02-08 15:00:00,60008154.0,RACHAL_REDTAP11,NewEquip,
208783,2,1,2016-02-12 08:59:00,2016-02-12 10:30:00,60008154.0,RACHAL_REDTAP11,NewEquip,
219319,1,1,2015-12-16 00:00:00,2015-12-18 19:00:00,60008105.0,138_WMT_WMS1,30194-1,
219319,2,1,2016-02-02 08:32:00,2016-03-01 19:00:00,60008105.0,138_WMT_WMS1,30194-1,
219553,1,1,2015-12-16 00:00:00,2015-12-18 19:00:00,60008161.0,138_WMP_WMT1,30194-1,
219553,2,1,2016-02-02 08:32:00,2016-03-01 19:00:00,60008161.0,138_WMP_WMT1,,
240521,1,1,2016-03-23 00:00:00,2016-05-31 17:00:00,60008491.0,ES_GS_70A,ES,
240521,2,1,2016-07-17 17:01:00,2016-07-23 12:00:00,60008491.0,ES_GS_70A,ES,
314759,1,1,2017-12-30 11:54:00,2018-01-30 19:00:00,60007059.0,SALTMN_BULLDG1,bdgSTAup,
314759,2,1,2018-02-05 19:01:00,2018-02-13 16:05:00,60007059.0,SALTMN_BULLDG1,bdgSTAup,
319113,1,1,2016-11-01 00:00:00,2016-11-28 09:00:00,60008675.0,CAPELL_ELY11,Newequip,
319113,2,1,2016-12-20 15:01:00,2017-02-24 19:00:00,60008675.0,CAPELL_ELY11,Newequip,
324091,1,1,2017-03-15 00:00:00,2017-03-15 00:01:00,,LY2_TAP031,LY,
324091,2,1,2017-04-03 07:00:00,2017-04-07 17:56:00,,LY2_TAP031,LY,
324095,1,1,2017-03-15 00:00:00,2017-03-15 00:01:00,60009234.0,BCVLY_03A,LY,
324095,2,1,2017-04-03 07:00:00,2017-04-07 17:56:00,60009234.0,BCVLY_03A,LY,
324096,1,1,2017-03-15 00:00:00,2017-03-15 00:01:00,60009237.0,CV_LY_03A,LY,
324096,2,1,2017-04-03 07:00:00,2017-04-07 17:56:00,60009237.0,CV_LY_03A,LY,
325089,1,1,2017-03-08 00:00:00,2017-04-05 17:00:00,60009179.0,HECKER_WHITE_11,NewEquip,
325089,2,1,2017-04-20 17:01:00,2017-04-21 18:00:00,60009179.0,HECKER_WHITE_11,,
325666,1,1,2017-04-05 00:00:00,2017-05-01 17:00:00,60009291.0,N_SHAR_SANTAS11,,
325666,2,2,2017-05-31 19:45:00,2017-06-09 12:00:00,60009291.0,N_SHAR_SANTAS11,,
325666,3,1,2017-06-19 15:01:00,2017-08-11 15:00:00,60009291.0,N_SHAR_SANTAS11,,
331363,1,2,2017-08-09 00:00:00,2017-08-24 17:00:00,60009260.0,LEVOYS15A,levee,
331363,2,1,2017-08-29 07:42:00,2017-09-15 17:00:00,60009260.0,LEVOYS15A,,
331363,3,1,2017-10-24 13:17:00,2017-11-27 17:00:00,60009260.0,LEVOYS15A,,
331507,1,3,2017-08-09 00:00:00,2017-09-15 17:00:00,60009259.0,LEVOYS11A,levee,
331507,2,1,2017-10-24 13:16:00,2018-01-07 17:00:00,60009259.0,LEVOYS11A,,
332475,1,1,2017-10-04 00:00:00,2017-12-29 14:00:00,60009235.0,BNMCHL70A,CHL,
332475,2,1,2018-03-22 17:01:00,2018-04-23 17:00:00,60009235.0,BNMCHL70A,CHL,
336008,1,1,2017-12-01 00:01:00,2017-12-31 23:59:00,60009034.0,ALBANY_GRIFFI21,GRIFFIN,
336008,2,2,2018-01-12 16:01:00,2018-02-09 18:00:00,60009034.0,ALBANY_GRIFFI21,GRIFFIN,
340987,1,1,2018-03-01 00:00:00,2018-06-01 00:00:00,60009290.0,MCCAMP_TPCO21,1234,
340987,2,1,2018-10-04 13:31:00,2018-10-05 17:30:00,60009290.0,MCCAMP_TPCO21,1234,
340987,3,1,2018-11-01 07:43:00,2019-01-17 17:30:00,60009290.0,MCCAMP_TPCO21,1234,
340987,4,2,2019-01-23 14:35:00,2020-01-01 15:00:00,60009290.0,MCCAMP_TPCO21,"1234, NewEquip",
344148,1,1,2018-08-04 09:16:00,2018-09-28 16:00:00,,COLETO_EULER11,NewEquip,
344148,2,1,2018-10-04 11:31:00,2018-11-30 16:00:00,,COLETO_EULER11,NewEquip,
347772,1,1,2018-06-01 00:01:00,2018-09-14 17:00:00,,EAGLE__GANSO11,NewEquip,
347772,2,2,2018-10-04 13:03:00,2018-11-15 15:16:00,,EAGLE__GANSO11,NewEquip,
347790,1,1,2018-06-01 00:01:00,2018-09-14 17:00:00,,GANSO_MAVERI11,NewEquip,
347790,2,2,2018-10-04 13:03:00,2018-11-12 16:00:00,,GANSO_MAVERI11,NewEquip,
347844,1,3,2018-06-02 08:27:00,2019-04-30 19:00:00,,SU_XF_VEALMOOR34507TR1_ST,Vealx2,
347844,2,3,2019-05-06 17:00:00,2020-02-21 18:30:00,,SU_XF_VEALMOOR34507TR1_ST,", Vealmoor, Vealx2",
349392,1,1,2018-03-14 00:00:00,2018-03-16 10:45:00,60007964.0,6535_E,,
349392,2,3,2018-04-02 12:01:00,2018-05-11 19:00:00,60007964.0,6535_E,,
361523,1,1,2018-08-31 16:01:00,2018-09-28 13:28:00,,AUT1,NewEquip,
361523,2,2,2018-10-01 13:29:00,2018-11-20 21:00:00,,AUT1,NewEquip,
361531,1,1,2018-08-31 16:01:00,2018-09-28 13:28:00,,AUT2,NewEquip,
361531,2,2,2018-10-01 13:29:00,2018-11-20 21:00:00,,AUT2,NewEquip,
361553,1,1,2018-08-31 16:01:00,2018-09-28 13:28:00,,LA_PAL_PALMAS11,NewEquip,
361553,2,2,2018-10-01 13:29:00,2018-11-20 21:00:00,,LA_PAL_PALMAS11,NewEquip,
361562,1,1,2018-08-31 16:01:00,2018-09-28 13:28:00,,LA_PAL_PALMAS21,NewEquip,
361562,2,2,2018-10-01 13:29:00,2018-11-20 21:00:00,,LA_PAL_PALMAS21,NewEquip,
363194,1,1,2018-07-18 00:00:00,2018-07-18 08:00:00,,1575_A,54085,
363194,2,1,2018-11-14 09:27:00,2018-11-14 09:28:00,,1575_A,,
364057,1,1,2018-08-01 00:00:00,2018-11-06 16:00:00,,TAHOKA T1,Tahoka,
364057,2,1,2019-11-21 07:00:00,2019-11-22 09:10:00,,TAHOKA T1,Tahoka O,
364058,1,1,2018-08-01 00:00:00,2018-11-06 16:00:00,,TAHOKA T2,Tahoka,
364058,2,1,2019-11-21 07:00:00,2019-11-22 09:10:00,,TAHOKA T2,Tahoka O,
364637,1,1,2018-08-01 00:00:00,2018-11-06 16:00:00,,TAHOKA_TLINE1,Tahoka,
364637,2,1,2019-11-21 07:00:00,2019-11-22 09:10:00,,TAHOKA_TLINE1,Tahoka O,
365472,1,1,2018-09-19 00:00:00,2018-10-06 17:00:00,,6116_F,,
365472,2,1,2018-10-10 10:01:00,2018-10-11 10:00:00,,6116_F,,
366379,1,1,2018-09-06 00:00:00,2018-09-21 16:00:00,,T2,OCI,
366379,2,1,2018-10-10 16:00:00,2018-11-30 17:00:00,,T2,Ivory,
373259,1,1,2018-10-03 00:00:00,2018-10-03 00:01:00,,1940_C,55611,
373259,2,1,2018-11-14 09:32:00,2018-12-05 10:00:00,,1940_C,55472,
373260,1,1,2018-10-03 00:00:00,2018-10-03 00:01:00,,2230_G,55611,
373260,2,1,2018-11-14 09:32:00,2018-12-05 10:00:00,,2230_G,55472,
374372,1,1,2018-12-05 00:00:00,2019-01-18 17:00:00,,BW_CWS94A,,
374372,2,1,2019-02-12 19:01:00,2019-02-13 01:03:00,,BW_CWS94A,,
374373,1,1,2018-12-05 00:00:00,2019-01-18 17:00:00,,CWSHIM94A,,
374373,2,1,2019-02-12 19:01:00,2019-02-13 01:03:00,,CWSHIM94A,,
375138,1,1,2018-12-05 00:00:00,2018-12-21 16:00:00,,BLSUMMIT_TRF2,BLSUM,
375138,2,1,2019-10-01 08:00:00,2019-10-09 18:55:00,,BLSUMMIT_TRF2,BS,
380192,1,1,2019-02-06 00:00:00,2019-05-03 11:18:00,,PHOEBE_T2,,
380192,2,1,2019-05-07 14:51:00,2019-05-17 10:00:00,,PHOEBE_T2,,
382388,1,2,2019-03-06 00:00:00,2019-03-14 23:59:00,,RANCHERO_TL1,,
382388,2,1,2019-04-26 16:01:00,2019-05-15 11:00:00,,RANCHERO_TL1,,
382388,3,1,2019-07-10 13:12:00,2019-08-22 12:00:00,,RANCHERO_TL1,,
386202,1,1,2019-04-03 00:00:00,2019-05-03 17:00:00,,ASHERT_LIPTON11,NewEquip,
386202,2,1,2019-05-16 13:40:00,2019-05-20 14:54:00,,ASHERT_LIPTON11,,
386211,1,1,2019-04-03 00:00:00,2019-05-03 17:00:00,,LIPTON_W_BATE11,NewEquip,
386211,2,1,2019-05-16 13:40:00,2019-05-20 14:54:00,,LIPTON_W_BATE11,,
395624,1,1,2019-04-03 00:00:00,2019-06-01 13:00:00,,EDITHC_FOARDC11,,
395624,2,1,2019-06-05 15:05:00,2019-06-30 16:00:00,,EDITHC_FOARDC11,,
399516,1,1,2019-11-20 00:00:00,2020-01-03 09:48:00,,GRE_GRAHAM1,,
399516,2,1,2020-05-07 07:48:00,2020-05-18 13:41:00,,GRE_GRAHAM1,Grahman,
400780,1,2,2019-07-10 00:01:00,2020-01-06 10:38:00,,CANTJKSN_RC1,"SPP2A, SPP2AA",
400780,2,1,2025-09-10 07:00:00,2025-09-10 12:20:00,,CANTJKSN_RC1,JACK,"REV: Wed Sep 10 07:00:52 CDT 2025: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
SUP: No load will actually be lost.  the load will be back fed from Bartons Chapel, Walton, Mabank, and Glen Pine"
400781,1,2,2019-07-10 00:01:00,2020-01-06 10:38:00,,EXPLJKSN_RC1,"SPP2A, SPP2AA",
400781,2,1,2025-09-10 07:00:00,2025-09-10 12:20:00,,EXPLJKSN_RC1,JACK,"REV: Wed Sep 10 07:00:52 CDT 2025: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
SUP: No load will actually be lost.  the load will be back fed from Bartons Chapel, Walton, Mabank, and Glen Pine"
400835,1,2,2019-07-10 00:01:00,2020-01-06 10:38:00,,EXPLMBNK_RC1,"SPP2A, SPP2AA",
400835,2,1,2025-09-09 07:00:00,2025-09-09 20:00:00,,EXPLMBNK_RC1,MABEXP,REV: Tue Sep 09 07:00:52 CDT 2025: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
400976,1,1,2019-07-10 00:01:00,2020-01-07 17:58:00,,EUSTWLTN_RC1,,
400976,2,1,2023-02-20 08:00:00,2023-02-22 16:00:00,,EUSTWLTN_RC1,EUSWAL,"REV: Mon Feb 20 08:00:45 CST 2023: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
SUP: THIS WILL ALLOW CUT IN TO THE NEW WALTON SWITCH
RAS: NONE
REQ: THIS WILL ALLOW CUT IN TO THE NEW WALTON SWITCH"
401132,1,1,2019-07-10 00:01:00,2020-01-07 10:20:00,,ATHNWALTN_RC1,,
401132,2,1,2022-12-01 00:01:00,2023-06-28 09:39:00,,ATHNWALTN_RC1,,"SUP: This project is in coordination with the Walton Switch project.
REQ: The energization date has been pushed back
SUP: NEW RING BUS AT NORTH ATHENS SWITCH
RAS: NONE
REQ: NORTH ATHENS REBUILD"
404118,1,1,2019-08-07 00:00:00,2019-10-28 23:59:00,,AZTECA_CLOSNE11,NewEquip,
404118,2,1,2019-11-01 13:26:00,2019-11-11 17:22:00,,AZTECA_CLOSNE11,NewEquip,
404124,1,1,2019-08-07 00:00:00,2019-10-28 23:59:00,,CLOSNE_SE_EDI11,NewEquip,
404124,2,1,2019-11-01 13:26:00,2019-11-11 17:22:00,,CLOSNE_SE_EDI11,NewEquip,
408167,1,1,2019-10-23 00:00:00,2019-10-23 00:01:00,,820_G,58706,
408167,2,1,2020-03-23 10:00:00,2020-03-29 20:56:00,,820_G,20-05018,
408497,1,1,2019-09-18 00:00:00,2019-12-05 17:35:00,,1318T3131,JCity138,
408497,2,1,2020-05-06 00:00:00,2020-05-08 10:00:00,,318T3131,WirtzPS,
415478,1,1,2020-02-19 00:00:00,2020-02-19 00:45:00,,389_A,,
415478,2,2,2020-05-06 07:30:00,2020-05-15 10:01:00,,389_A,,
421094,1,2,2019-10-16 00:00:00,2020-02-11 16:36:00,,NBOHR_HARALD1,", Harald 1",
421094,2,2,2020-02-25 11:00:00,2020-05-04 12:38:00,,NBOHR_HARALD1,"Harald, harald",
421221,1,2,2019-10-16 00:00:00,2020-02-11 18:11:00,,HARALD T1 GSU,", Harald 1",
421221,2,2,2020-02-25 11:00:00,2020-05-04 12:38:00,,HARALD T1 GSU,"Harald, harald",
432598,1,2,2020-02-26 00:00:00,2020-02-28 11:23:00,,1421T4411,Motorman,
432598,2,3,2020-04-21 10:43:00,2021-12-30 10:30:00,,1421T4411,Motorman,"REQ: Temporary equipment for Motorman sub to allow ONCOR to place their POD. Request to show flow through temp Motorman sub to feed Hazel POD.
SUP: We were late on extending the new equipment energization outage. The equipment is not expected to energize until dec 2021"
432599,1,2,2020-02-26 00:00:00,2020-02-28 11:23:00,,432T4411,Motorman,
432599,2,3,2020-04-21 10:43:00,2021-12-30 10:30:00,,432T4411,Motorman,"REQ: Temporary equipment for Motorman sub to allow ONCOR to place their POD. Request to show flow through temp Motorman sub to feed Hazel POD.
SUP: We were late on extending the new equipment energization outage. The equipment is not expected to energize until dec 2021"
437759,1,1,2020-05-06 00:00:00,2020-05-06 00:01:00,,6200_B,,
437759,2,1,2020-09-21 07:00:00,2020-10-01 20:00:00,,6200_B,,
438080,1,1,2020-05-06 00:00:00,2020-05-06 00:01:00,,15050_B,61705_1,
438080,2,1,2020-10-07 00:00:00,2020-10-07 00:01:00,,15050_B,41001,
438428,1,1,2020-03-04 00:00:00,2020-04-01 15:00:00,,AMADEU_FIGARO11,,
438428,2,1,2020-06-30 14:19:00,2020-09-15 16:16:00,,AMADEU_FIGARO11,,
440948,1,1,2020-05-06 00:00:00,2020-06-15 17:00:00,,MPT2,Part 1,
440948,2,1,2020-06-24 16:01:00,2020-06-27 09:00:00,,MPT2,,
441293,1,3,2020-05-06 00:00:00,2020-06-19 16:40:00,,MPT1,"PART 1, Part 1",
441293,2,1,2020-06-27 08:00:00,2020-06-28 12:15:00,,MPT1,DEWOLF,
445914,1,1,2020-05-13 00:00:00,2020-11-19 16:01:00,,PUTN_SOLANU11,NewEquip,
445914,2,1,2020-11-25 17:06:00,2020-12-08 17:01:00,,PUTN_SOLANU11,,
446444,1,3,2020-05-20 00:00:00,2020-10-30 17:00:00,,SOLNM_TOMATO1,,
446444,2,1,2020-11-06 14:44:00,2020-11-19 17:09:00,,SOLNM_TOMATO1,,
446444,3,1,2020-11-25 17:09:00,2020-12-31 18:22:00,,SOLNM_TOMATO1,,
460017,1,4,2020-10-07 00:00:00,2021-12-02 15:31:00,,PST1,PST,"REV: Wed Oct 07 00:00:51 CDT 2020: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
SUP: New equipment entering the model."
460017,2,2,2021-12-08 15:31:00,2022-08-09 11:20:00,,PST1,PST,"SUP: .
REQ: Solsitce equipment and line outaged in AEP00345288.
REQ: New equipment entering the model."
461164,1,1,2020-10-14 00:00:00,2020-11-06 00:00:00,,T1,WILD,
461164,2,2,2020-12-07 09:12:00,2020-12-28 15:22:00,,T1,WILD,
461739,1,1,2020-10-07 00:00:00,2020-12-08 12:34:00,,T1,ANSON1,
461739,2,1,2025-10-06 07:00:00,2025-10-20 18:29:00,,T1,ANS1,"SUP: .
REV: Mon Oct 06 07:00:39 CDT 2025: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
REQ: Connecting Anson 2 site to POI structure"
465308,1,1,2020-09-02 00:00:00,2020-09-25 16:00:00,,RELOJ_TLINE1,,
465308,2,3,2020-10-01 19:01:00,2020-12-21 17:25:00,,RELOJ_TLINE1,,
466567,1,2,2020-12-02 00:00:00,2021-11-01 17:28:00,,14065_A,40650,"SUP: .
REQ: New equipment energization outages."
466567,2,1,2022-03-31 18:01:00,2022-07-22 18:13:00,,14065_A,,SUP: .
467380,1,1,2020-10-14 00:00:00,2020-11-06 00:00:00,,WILDWIND_TLINE1,WILD,
467380,2,4,2020-12-07 09:12:00,2020-12-29 12:24:00,,WILDWIND_TLINE1,WILD,
471385,1,1,2020-12-02 00:00:00,2020-12-31 18:39:00,,1062_A,64839_1,
471385,2,1,2021-04-30 13:15:00,2021-12-04 18:00:00,,1062_A,64839_1,"SUP: extended.  PS1, PS2 inverted
REV: Fri Apr 30 13:15:47 CDT 2021: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization"
471386,1,1,2020-12-02 00:00:00,2020-12-31 18:39:00,,1063_A,64839_1,
471386,2,1,2021-04-30 13:15:00,2021-11-21 09:44:00,,1063_A,,"SUP: .
REV: Fri Apr 30 13:15:47 CDT 2021: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization"
479363,1,1,2020-12-02 00:00:00,2020-12-02 00:01:00,,TR1,PHOENIX,
479363,2,1,2021-01-06 00:00:00,2021-03-17 12:10:00,,TR1,,
486971,1,1,2021-02-03 00:00:00,2021-05-03 19:30:00,,T1P,104,
486971,2,1,2021-05-06 19:47:00,2021-05-21 09:32:00,,T1P,LPL PY,
486972,1,1,2021-02-03 00:00:00,2021-05-03 19:30:00,,T1S,104,
486972,2,1,2021-05-06 19:47:00,2021-05-21 09:32:00,,T1S,LPL PY,
486974,1,1,2021-02-03 00:00:00,2021-05-03 19:30:00,,T2P,104,
486974,2,1,2021-05-06 19:47:00,2021-05-21 09:32:00,,T2P,LPL PY,
486975,1,1,2021-02-03 00:00:00,2021-05-03 19:30:00,,T2S,104,
486975,2,1,2021-05-06 19:47:00,2021-05-21 09:32:00,,T2S,LPL PY,
487499,1,1,2021-02-03 00:00:00,2021-02-03 00:01:00,,BOGPIR88A,BOGPIR88,"REQ: NOMCR FOR NEW LINES INTO NEW BOGGY SUB WITHDRAWN. WILL RESCHEDULE IN FALL
REV: Wed Feb 03 00:01:01 CST 2021: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
REQ: CUT IN LN88 INTO NEW BOGGY SUB"
487499,2,2,2021-10-06 00:00:00,2022-10-18 19:00:00,,BOGPIR88A,,"REV: Wed Oct 06 00:02:54 CDT 2021: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
REQ: INTRODUCE NEW LINE SEGMENT INTO ERCOT MODEL"
487520,1,1,2021-02-03 00:00:00,2021-02-03 00:01:00,,BOGDER85A,BOGDER85,
487520,2,1,2021-10-06 00:00:00,2021-10-08 16:47:00,,BOGDER85A,,"REV: Wed Oct 06 00:02:39 CDT 2021: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
REQ: NEW LINE SEGMENT INTO NEW SUB BOG"
487530,1,1,2021-02-03 00:00:00,2021-02-03 00:01:00,,BOGSL_85A,BOGSL_85,
487530,2,1,2021-10-06 00:00:00,2021-10-08 16:47:00,,BOGSL_85A,,"REV: Wed Oct 06 00:02:38 CDT 2021: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
REQ: NEW LINE SEGMENT INTO NEW SUB BOG"
487543,1,1,2021-02-03 00:00:00,2021-02-03 00:01:00,,BOGEAB88A,BOGEAB88,"REQ: NOMCR FOR NEW LINES INTO NEW BOGGY SUB WITHDRAWN. WILL RESCHEDULE IN FALL
REV: Wed Feb 03 00:01:01 CST 2021: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
REQ: CUT IN LN88 INTO NEW BOGGY SUB"
487543,2,2,2021-10-06 00:00:00,2022-10-18 19:00:00,,BOGEAB88A,,"REV: Wed Oct 06 00:02:53 CDT 2021: Actual Start has been auto-populated by OS due to Nature Of Work = New Equipment Energization
REQ: INTRODUCE NEW LINE SEGMENT IN ERCOT MODEL"
489283,1,1,2021-02-03 00:00:00,2021-05-03 19:44:00,,LPLSE_LPLPY1,110,
